"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
"Total"	"Arkansas"	"05"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			45	1317947	3.4
"Total"	"Arkansas"	"05"	"Female"	"F"	"2014"	"2014"					52	1317947	3.9
"Total"	"Arkansas"	"05"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			58	1325624	4.4
"Total"	"Arkansas"	"05"	"Female"	"F"	"2015"	"2015"					66	1325624	5.0
	"Arkansas"	"05"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	14	101657	Unreliable
"Total"	"Arkansas"	"05"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			60	1331523	4.5
"Total"	"Arkansas"	"05"	"Female"	"F"	"2016"	"2016"					73	1331523	5.5
"Total"	"Arkansas"	"05"	"Female"	"F"							278	6596934	4.2
"Total"	"Arkansas"	"05"									278	6596934	4.2
"Total"	"California"	"06"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by drowning and submersion"	"X71"			15	16636186	Unreliable
	"California"	"06"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"	"45-49 years"	"45-49"	11	1305848	Unreliable
	"California"	"06"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"	"50-54 years"	"50-54"	18	1321360	Unreliable
	"California"	"06"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"	"55-59 years"	"55-59"	14	1206697	Unreliable
	"California"	"06"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"	"60-64 years "	"60-64"	10	1019089	Unreliable
"Total"	"California"	"06"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			109	16636186	0.7
"Total"	"California"	"06"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			55	16636186	0.3
"Total"	"California"	"06"	"Female"	"F"	"2012"	"2012"					187	16636186	1.1
"Total"	"California"	"06"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by drowning and submersion"	"X71"			14	16789035	Unreliable
	"California"	"06"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"	"30-34 years"	"30-34"	11	1346427	Unreliable
	"California"	"06"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"	"50-54 years"	"50-54"	21	1327213	1.6
	"California"	"06"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"	"55-59 years"	"55-59"	11	1231332	Unreliable
	"California"	"06"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"	"60-64 years "	"60-64"	18	1043769	Unreliable
"Total"	"California"	"06"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			128	16789035	0.8
"Total"	"California"	"06"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			51	16789035	0.3
"Total"	"California"	"06"	"Female"	"F"	"2013"	"2013"					209	16789035	1.2
"Total"	"California"	"06"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by drowning and submersion"	"X71"			23	17053094	0.1
	"California"	"06"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	"45-49 years"	"45-49"	10	1289883	Unreliable
	"California"	"06"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	"50-54 years"	"50-54"	16	1342815	Unreliable
	"California"	"06"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	"55-59 years"	"55-59"	12	1255723	Unreliable
	"California"	"06"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	"60-64 years "	"60-64"	16	1077744	Unreliable
	"California"	"06"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	"65-69 years"	"65-69"	14	880487	Unreliable
"Total"	"California"	"06"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			107	17053094	0.6
	"California"	"06"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	13	1255723	Unreliable
"Total"	"California"	"06"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			66	17053094	0.4
"Total"	"California"	"06"	"Female"	"F"	"2014"	"2014"					208	17053094	1.2
"Total"	"California"	"06"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by drowning and submersion"	"X71"			19	17232428	Unreliable
	"California"	"06"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"	"45-49 years"	"45-49"	10	1299914	Unreliable
	"California"	"06"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"	"50-54 years"	"50-54"	16	1333089	Unreliable
	"California"	"06"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"	"55-59 years"	"55-59"	11	1277268	Unreliable
"Total"	"California"	"06"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			93	17232428	0.5
"Total"	"California"	"06"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			58	17232428	0.3
"Total"	"California"	"06"	"Female"	"F"	"2015"	"2015"					182	17232428	1.1
"Total"	"California"	"06"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by drowning and submersion"	"X71"			20	17299600	0.1
	"California"	"06"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"	"45-49 years"	"45-49"	10	1304446	Unreliable
	"California"	"06"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"	"50-54 years"	"50-54"	11	1303642	Unreliable
	"California"	"06"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"	"55-59 years"	"55-59"	12	1282686	Unreliable
	"California"	"06"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"	"60-64 years "	"60-64"	18	1132432	Unreliable
"Total"	"California"	"06"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			110	17299600	0.6
"Total"	"California"	"06"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			62	17299600	0.4
"Total"	"California"	"06"	"Female"	"F"	"2016"	"2016"					204	17299600	1.2
"Total"	"California"	"06"	"Female"	"F"							990	85010343	1.2
"Total"	"California"	"06"									990	85010343	1.2
"Total"	"Colorado"	"08"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			12	2246693	Unreliable
"Total"	"Colorado"	"08"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			50	2246693	2.2
"Total"	"Colorado"	"08"	"Female"	"F"	"2012"	"2012"					63	2246693	2.8
"Total"	"Colorado"	"08"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			20	2285571	0.9
"Total"	"Colorado"	"08"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			41	2285571	1.8
"Total"	"Colorado"	"08"	"Female"	"F"	"2013"	"2013"					67	2285571	2.9
"Total"	"Colorado"	"08"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			15	2329130	Unreliable
"Total"	"Colorado"	"08"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			48	2329130	2.1
"Total"	"Colorado"	"08"	"Female"	"F"	"2014"	"2014"					66	2329130	2.8
"Total"	"Colorado"	"08"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			17	2376671	Unreliable
"Total"	"Colorado"	"08"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			49	2376671	2.1
"Total"	"Colorado"	"08"	"Female"	"F"	"2015"	"2015"					71	2376671	3.0
"Total"	"Colorado"	"08"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			29	2417595	1.2
"Total"	"Colorado"	"08"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			58	2417595	2.4
"Total"	"Colorado"	"08"	"Female"	"F"	"2016"	"2016"					92	2417595	3.8
"Total"	"Colorado"	"08"	"Female"	"F"							359	11655660	3.1
"Total"	"Colorado"	"08"									359	11655660	3.1
"Total"	"Connecticut"	"09"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			10	1639161	Unreliable
"Total"	"Connecticut"	"09"	"Female"	"F"	"2012"	"2012"					14	1639161	Unreliable
"Total"	"Connecticut"	"09"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			11	1646220	Unreliable
"Total"	"Connecticut"	"09"	"Female"	"F"	"2014"	"2014"					15	1646220	Unreliable
"Total"	"Connecticut"	"09"	"Female"	"F"	"2015"	"2015"					17	1646324	Unreliable
"Total"	"Connecticut"	"09"	"Female"	"F"	"2016"	"2016"					15	1641538	Unreliable
"Total"	"Connecticut"	"09"	"Female"	"F"							66	8215779	0.8
"Total"	"Connecticut"	"09"									66	8215779	0.8
"Total"	"Delaware"	"10"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			13	432757	Unreliable
"Total"	"Delaware"	"10"	"Female"	"F"	"2015"	"2015"					15	432757	Unreliable
"Total"	"Delaware"	"10"	"Female"	"F"							43	2135433	2.0
"Total"	"Delaware"	"10"									43	2135433	2.0
"Total"	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by drowning and submersion"	"X71"			22	8809142	0.2
	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"	"45-49 years"	"45-49"	10	687264	Unreliable
	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"	"55-59 years"	"55-59"	11	671999	Unreliable
"Total"	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"			68	8809142	0.8
	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"25-29 years"	"25-29"	11	602534	Unreliable
	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"30-34 years"	"30-34"	12	586222	Unreliable
	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"35-39 years"	"35-39"	14	571494	Unreliable
	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	14	637566	Unreliable
	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	26	687264	3.8
	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	24	712327	3.4
	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	18	671999	Unreliable
	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	17	630462	Unreliable
	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"65-69 years"	"65-69"	17	566511	Unreliable
"Total"	"Florida"	"12"	"Female"	"F"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			180	8809142	2.0
"Total"	"Florida"	"12"	"Female"	"F"	"2012"	"2012"					281	8809142	3.2
"Total"	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by drowning and submersion"	"X71"			17	8918782	Unreliable
	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"	"45-49 years"	"45-49"	12	671597	Unreliable
	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"	"50-54 years"	"50-54"	14	721309	Unreliable
	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"	"55-59 years"	"55-59"	11	688468	Unreliable
"Total"	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"			85	8918782	1.0
	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"20-24 years"	"20-24"	11	642940	Unreliable
	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"30-34 years"	"30-34"	11	599059	Unreliable
	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	18	636330	Unreliable
	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	18	671597	Unreliable
	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	26	721309	3.6
	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	22	688468	3.2
	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	11	635650	Unreliable
	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"65-69 years"	"65-69"	17	587207	Unreliable
"Total"	"Florida"	"12"	"Female"	"F"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			169	8918782	1.9
"Total"	"Florida"	"12"	"Female"	"F"	"2013"	"2013"					279	8918782	3.1
	"Florida"	"12"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	"55-59 years"	"55-59"	10	705999	Unreliable
"Total"	"Florida"	"12"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"			73	9089090	0.8
	"Florida"	"12"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"30-34 years"	"30-34"	13	616998	Unreliable
	"Florida"	"12"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	14	636168	Unreliable
	"Florida"	"12"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	15	662031	Unreliable
	"Florida"	"12"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	18	732797	Unreliable
	"Florida"	"12"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	22	705999	3.1
	"Florida"	"12"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	15	654344	Unreliable
	"Florida"	"12"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"65-69 years"	"65-69"	10	616814	Unreliable
"Total"	"Florida"	"12"	"Female"	"F"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			143	9089090	1.6
"Total"	"Florida"	"12"	"Female"	"F"	"2014"	"2014"					235	9089090	2.6
"Total"	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by drowning and submersion"	"X71"			21	9273978	0.2
	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"	"50-54 years"	"50-54"	11	736988	Unreliable
	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"	"55-59 years"	"55-59"	10	724887	Unreliable
"Total"	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"			66	9273978	0.7
	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"20-24 years"	"20-24"	15	633236	Unreliable
	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"25-29 years"	"25-29"	12	661872	Unreliable
	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"30-34 years"	"30-34"	12	632480	Unreliable
	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"40-44 years"	"40-44"	12	631490	Unreliable
	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"45-49 years"	"45-49"	20	664011	3.0
	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"50-54 years"	"50-54"	18	736988	Unreliable
	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"55-59 years"	"55-59"	19	724887	Unreliable
	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"60-64 years "	"60-64"	16	676569	Unreliable
	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"65-69 years"	"65-69"	12	648703	Unreliable
"Total"	"Florida"	"12"	"Female"	"F"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"			164	9273978	1.8
"Total"	"Florida"	"12"	"Female"	"F"	"2015"	"2015"					259	9273978	2.8
"Total"	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by drowning and submersion"	"X71"			20	9431749	0.2
	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"	"35-39 years"	"35-39"	12	622353	Unreliable
	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"	"65-69 years"	"65-69"	10	681248	Unreliable
"Total"	"Florida"	"12"	"Female"	"F"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"			87	9431749	0.9
